lat,lon,temp,relativehumid,SeaLevelPessure,rain,Wind10m,wind925,wind850,wind700,wind500,wind200,cloudlow,cloudmed,cloudhigh,time
13.752,100.507,31.81,60.24,1008.86,1.7,4.04,10.86,8.34,9.86,9,9.83,52.5,1.88,47,2018-05-12T00:00:00+07:00
13.752,100.507,32.1,59.53,1008.97,0.1,4.69,8.89,8.17,8.71,5.49,9.84,38,4,14,2018-05-13T00:00:00+07:00
13.752,100.507,31.17,68.27,1008.97,5.5,3.62,10.78,5.17,6.75,6.35,8.15,79.88,28,21.75,2018-05-14T00:00:00+07:00
13.752,100.507,30.59,70.19,1008.44,11.7,4.46,9.43,6.05,3.39,6.2,5.92,81.5,40.38,11.75,2018-05-15T00:00:00+07:00
13.752,100.507,30.95,69.29,1007.12,6.5,5.31,9.49,4.65,2.18,6.31,9.15,79.63,6.88,8.88,2018-05-16T00:00:00+07:00
13.752,100.507,22.4,82.12,1020.12,0,7.2,18.67,10.54,5.97,3.48,16.67,45.5,0,0,2018-05-17T00:00:00+07:00
13.752,100.507,22.92,82.2,1015.91,0,3.72,8.58,7.54,6.04,3.34,8.21,13.5,0,0,2018-05-18T00:00:00+07:00
13.752,100.507,24.7,82.88,1012.52,0,3.7,5.89,6.82,7.27,5.35,7.51,37.75,0,0,2018-05-19T00:00:00+07:00
13.752,100.507,26.16,83.69,1012.66,3.1,3.97,10.09,10.26,10.48,11.38,14.22,48,25,0.25,2018-05-20T00:00:00+07:00
13.752,100.507,26.07,84.3,1013.53,0.2,6.99,9.99,11.08,11.88,10.41,15.07,9,0,0,2018-05-21T00:00:00+07:00
13.752,100.507,23.54,82.19,1014.74,0,4.96,18.66,15.39,15.62,5.37,15.54,29.75,23,3.5,2018-05-22T00:00:00+07:00
13.752,100.507,20.86,79.37,1015.56,0,7.25,17.59,13.83,10.43,8.55,9.32,47.5,6,2.25,2018-05-23T00:00:00+07:00
13.752,100.507,20.38,80.8,1014.73,0,5.4,14.26,9.73,7.01,6.3,14.48,65.5,56,0,2018-05-24T00:00:00+07:00
13.752,100.507,21.45,79.95,1015.78,0.1,5.12,13.6,6.84,5.34,5.19,12.3,57.25,52.75,0,2018-05-25T00:00:00+07:00
13.752,100.507,22.02,78.12,1016.52,0,5.07,13.86,8.46,8.19,4.58,10.27,14,0,0,2018-05-26T00:00:00+07:00
13.752,100.507,22.32,81.87,1016.66,0,5.36,14.33,9.17,6.34,2.85,10.71,25.75,0,0,2018-05-27T00:00:00+07:00
13.752,100.507,21.78,79.91,1015.98,0,6.14,17.31,10.01,3.96,6.19,8.81,7.75,0,0,2018-05-28T00:00:00+07:00
13.752,100.507,20.81,76.66,1014.48,0,5.72,13.09,7.23,3.22,7.21,9.62,28,0,0,2018-05-29T00:00:00+07:00
13.752,100.507,21.52,79.63,1014.24,0,4.28,9.9,7.55,2.99,6.26,11.73,13.75,0,0,2018-05-30T00:00:00+07:00
13.752,100.507,23.15,77.77,1015.58,0,3.65,7.63,8.22,6.47,6.27,9.99,25.25,3.25,0,2018-05-31T00:00:00+07:00
13.752,100.507,22.58,79.77,1016.44,0,6.24,17.62,10.07,7.34,7.66,11.69,15.25,0,0,2018-06-01T00:00:00+07:00
13.762,100.503,32.97,55.4,1008.28,0,6.06,9.82,9.42,7.68,5.29,5.73,53.56,40.63,36.69,2018-05-07T00:00:00+07:00
13.762,100.503,32.62,61.9,1007.02,0,6.18,12.34,5.16,5.16,4.16,3.59,48.08,22.25,6.46,2018-05-08T00:00:00+07:00
13.762,100.503,33.09,58.44,1007.67,5.5,5.05,13.35,6.09,3.16,9.04,5.37,50.5,40.33,3.33,2018-05-09T00:00:00+07:00
13.762,100.503,30.17,70.62,1008.91,11.4,4.24,9.73,4.67,2.34,8.08,5.41,65.75,28.13,65.13,2018-05-10T00:00:00+07:00
13.762,100.503,29.95,77.15,1008.65,21.4,4.26,8.46,5.61,4.75,9.7,4.85,78.63,50.38,73.88,2018-05-11T00:00:00+07:00
13.762,100.503,31.81,60.24,1008.86,1.7,4.04,10.86,8.34,9.86,9,9.83,52.5,1.88,47,2018-05-12T00:00:00+07:00
13.762,100.503,32.1,59.53,1008.97,0.1,4.69,8.89,8.17,8.71,5.49,9.84,38,4,14,2018-05-13T00:00:00+07:00
13.762,100.503,31.17,68.27,1008.97,5.5,3.62,10.78,5.17,6.75,6.35,8.15,79.88,28,21.75,2018-05-14T00:00:00+07:00
13.762,100.503,30.59,70.19,1008.44,11.7,4.46,9.43,6.05,3.39,6.2,5.92,81.5,40.38,11.75,2018-05-15T00:00:00+07:00
13.762,100.503,30.95,69.29,1007.12,6.5,5.31,9.49,4.65,2.18,6.31,9.15,79.63,6.88,8.88,2018-05-16T00:00:00+07:00
13.762,100.503,22.4,82.12,1020.12,0,7.2,18.67,10.54,5.97,3.48,16.67,45.5,0,0,2018-05-17T00:00:00+07:00
13.762,100.503,22.92,82.2,1015.91,0,3.72,8.58,7.54,6.04,3.34,8.21,13.5,0,0,2018-05-18T00:00:00+07:00
13.762,100.503,24.7,82.88,1012.52,0,3.7,5.89,6.82,7.27,5.35,7.51,37.75,0,0,2018-05-19T00:00:00+07:00
13.762,100.503,26.16,83.69,1012.66,3.1,3.97,10.09,10.26,10.48,11.38,14.22,48,25,0.25,2018-05-20T00:00:00+07:00
13.762,100.503,26.07,84.3,1013.53,0.2,6.99,9.99,11.08,11.88,10.41,15.07,9,0,0,2018-05-21T00:00:00+07:00
13.762,100.503,23.54,82.19,1014.74,0,4.96,18.66,15.39,15.62,5.37,15.54,29.75,23,3.5,2018-05-22T00:00:00+07:00
13.762,100.503,20.86,79.37,1015.56,0,7.25,17.59,13.83,10.43,8.55,9.32,47.5,6,2.25,2018-05-23T00:00:00+07:00
13.762,100.503,20.38,80.8,1014.73,0,5.4,14.26,9.73,7.01,6.3,14.48,65.5,56,0,2018-05-24T00:00:00+07:00
13.762,100.503,21.45,79.95,1015.78,0.1,5.12,13.6,6.84,5.34,5.19,12.3,57.25,52.75,0,2018-05-25T00:00:00+07:00
13.762,100.503,22.02,78.12,1016.52,0,5.07,13.86,8.46,8.19,4.58,10.27,14,0,0,2018-05-26T00:00:00+07:00
13.762,100.503,22.32,81.87,1016.66,0,5.36,14.33,9.17,6.34,2.85,10.71,25.75,0,0,2018-05-27T00:00:00+07:00
13.762,100.503,21.78,79.91,1015.98,0,6.14,17.31,10.01,3.96,6.19,8.81,7.75,0,0,2018-05-28T00:00:00+07:00
13.762,100.503,20.81,76.66,1014.48,0,5.72,13.09,7.23,3.22,7.21,9.62,28,0,0,2018-05-29T00:00:00+07:00
13.762,100.503,21.52,79.63,1014.24,0,4.28,9.9,7.55,2.99,6.26,11.73,13.75,0,0,2018-05-30T00:00:00+07:00
13.762,100.503,23.15,77.77,1015.58,0,3.65,7.63,8.22,6.47,6.27,9.99,25.25,3.25,0,2018-05-31T00:00:00+07:00
13.762,100.503,22.58,79.77,1016.44,0,6.24,17.62,10.07,7.34,7.66,11.69,15.25,0,0,2018-06-01T00:00:00+07:00
13.734,100.513,32.86,56.09,1008.3,0,6.05,9.72,9.15,8.74,5.27,5.67,51.38,41.56,36.75,2018-05-07T00:00:00+07:00
13.734,100.513,32.57,62.47,1007.04,0.1,5.81,12.61,5.24,5.16,4.05,4.07,55.42,22.42,7.67,2018-05-08T00:00:00+07:00
13.734,100.513,32.89,60.45,1007.69,5.8,5.39,13.19,5.88,3.21,8.78,5.41,49.25,35.38,4.04,2018-05-09T00:00:00+07:00
13.734,100.513,29.92,74.3,1009.02,19.5,3.84,9.5,6.12,2.21,8.41,5.63,80.75,29.75,61.5,2018-05-10T00:00:00+07:00
13.734,100.513,28.99,82.98,1008.82,31,5.32,8.8,5.37,5.24,9.64,5.15,84.63,45.5,71.38,2018-05-11T00:00:00+07:00
13.734,100.513,31.09,65.96,1009.04,0.6,4.6,10.22,7.75,9.57,8.16,10,47.75,5.75,42.63,2018-05-12T00:00:00+07:00
13.734,100.513,31.16,65.93,1009.14,0.1,4.5,8.8,8.77,9.25,6.28,9.54,35.88,5.25,15,2018-05-13T00:00:00+07:00
13.734,100.513,30.72,72.69,1009.05,5.9,4.66,10.39,4.99,6.97,6.27,7.66,80.5,25.38,16.63,2018-05-14T00:00:00+07:00
13.734,100.513,29.83,77.03,1008.53,16.9,4.82,9.57,5.3,3.2,5.84,6.89,80.5,35.63,11.25,2018-05-15T00:00:00+07:00
13.734,100.513,30.64,72.57,1007.23,9.9,5.59,9.8,4.61,2.39,6.18,10.55,75.38,10.38,9.63,2018-05-16T00:00:00+07:00
13.734,100.513,22.4,82.12,1020.12,0,7.2,18.67,10.54,5.97,3.48,16.67,45.5,0,0,2018-05-17T00:00:00+07:00
13.734,100.513,22.92,82.2,1015.91,0,3.72,8.58,7.54,6.04,3.34,8.21,13.5,0,0,2018-05-18T00:00:00+07:00
13.734,100.513,24.7,82.88,1012.52,0,3.7,5.89,6.82,7.27,5.35,7.51,37.75,0,0,2018-05-19T00:00:00+07:00
13.734,100.513,26.16,83.69,1012.66,3.1,3.97,10.09,10.26,10.48,11.38,14.22,48,25,0.25,2018-05-20T00:00:00+07:00
13.734,100.513,26.07,84.3,1013.53,0.2,6.99,9.99,11.08,11.88,10.41,15.07,9,0,0,2018-05-21T00:00:00+07:00
13.734,100.513,23.54,82.19,1014.74,0,4.96,18.66,15.39,15.62,5.37,15.54,29.75,23,3.5,2018-05-22T00:00:00+07:00
13.734,100.513,20.86,79.37,1015.56,0,7.25,17.59,13.83,10.43,8.55,9.32,47.5,6,2.25,2018-05-23T00:00:00+07:00
13.734,100.513,20.38,80.8,1014.73,0,5.4,14.26,9.73,7.01,6.3,14.48,65.5,56,0,2018-05-24T00:00:00+07:00
13.734,100.513,21.45,79.95,1015.78,0.1,5.12,13.6,6.84,5.34,5.19,12.3,57.25,52.75,0,2018-05-25T00:00:00+07:00
13.734,100.513,22.02,78.12,1016.52,0,5.07,13.86,8.46,8.19,4.58,10.27,14,0,0,2018-05-26T00:00:00+07:00
13.734,100.513,22.32,81.87,1016.66,0,5.36,14.33,9.17,6.34,2.85,10.71,25.75,0,0,2018-05-27T00:00:00+07:00
13.734,100.513,21.78,79.91,1015.98,0,6.14,17.31,10.01,3.96,6.19,8.81,7.75,0,0,2018-05-28T00:00:00+07:00
13.734,100.513,20.81,76.66,1014.48,0,5.72,13.09,7.23,3.22,7.21,9.62,28,0,0,2018-05-29T00:00:00+07:00
13.734,100.513,21.52,79.63,1014.24,0,4.28,9.9,7.55,2.99,6.26,11.73,13.75,0,0,2018-05-30T00:00:00+07:00
13.734,100.513,23.15,77.77,1015.58,0,3.65,7.63,8.22,6.47,6.27,9.99,25.25,3.25,0,2018-05-31T00:00:00+07:00
13.734,100.513,22.58,79.77,1016.44,0,6.24,17.62,10.07,7.34,7.66,11.69,15.25,0,0,2018-06-01T00:00:00+07:00
13.749,100.512,32.86,56.09,1008.3,0,6.05,9.72,9.15,8.74,5.27,5.67,51.38,41.56,36.75,2018-05-07T00:00:00+07:00
13.749,100.512,32.57,62.47,1007.04,0.1,5.81,12.61,5.24,5.16,4.05,4.07,55.42,22.42,7.67,2018-05-08T00:00:00+07:00
13.749,100.512,32.89,60.45,1007.69,5.8,5.39,13.19,5.88,3.21,8.78,5.41,49.25,35.38,4.04,2018-05-09T00:00:00+07:00
13.749,100.512,29.92,74.3,1009.02,19.5,3.84,9.5,6.12,2.21,8.41,5.63,80.75,29.75,61.5,2018-05-10T00:00:00+07:00
13.749,100.512,28.99,82.98,1008.82,31,5.32,8.8,5.37,5.24,9.64,5.15,84.63,45.5,71.38,2018-05-11T00:00:00+07:00
13.749,100.512,31.09,65.96,1009.04,0.6,4.6,10.22,7.75,9.57,8.16,10,47.75,5.75,42.63,2018-05-12T00:00:00+07:00
13.749,100.512,31.16,65.93,1009.14,0.1,4.5,8.8,8.77,9.25,6.28,9.54,35.88,5.25,15,2018-05-13T00:00:00+07:00
13.749,100.512,30.72,72.69,1009.05,5.9,4.66,10.39,4.99,6.97,6.27,7.66,80.5,25.38,16.63,2018-05-14T00:00:00+07:00
13.749,100.512,29.83,77.03,1008.53,16.9,4.82,9.57,5.3,3.2,5.84,6.89,80.5,35.63,11.25,2018-05-15T00:00:00+07:00
13.749,100.512,30.64,72.57,1007.23,9.9,5.59,9.8,4.61,2.39,6.18,10.55,75.38,10.38,9.63,2018-05-16T00:00:00+07:00
13.749,100.512,22.4,82.12,1020.12,0,7.2,18.67,10.54,5.97,3.48,16.67,45.5,0,0,2018-05-17T00:00:00+07:00
13.749,100.512,22.92,82.2,1015.91,0,3.72,8.58,7.54,6.04,3.34,8.21,13.5,0,0,2018-05-18T00:00:00+07:00
13.749,100.512,24.7,82.88,1012.52,0,3.7,5.89,6.82,7.27,5.35,7.51,37.75,0,0,2018-05-19T00:00:00+07:00
13.749,100.512,26.16,83.69,1012.66,3.1,3.97,10.09,10.26,10.48,11.38,14.22,48,25,0.25,2018-05-20T00:00:00+07:00
13.749,100.512,26.07,84.3,1013.53,0.2,6.99,9.99,11.08,11.88,10.41,15.07,9,0,0,2018-05-21T00:00:00+07:00
13.749,100.512,23.54,82.19,1014.74,0,4.96,18.66,15.39,15.62,5.37,15.54,29.75,23,3.5,2018-05-22T00:00:00+07:00
13.749,100.512,20.86,79.37,1015.56,0,7.25,17.59,13.83,10.43,8.55,9.32,47.5,6,2.25,2018-05-23T00:00:00+07:00
13.749,100.512,20.38,80.8,1014.73,0,5.4,14.26,9.73,7.01,6.3,14.48,65.5,56,0,2018-05-24T00:00:00+07:00
13.749,100.512,21.45,79.95,1015.78,0.1,5.12,13.6,6.84,5.34,5.19,12.3,57.25,52.75,0,2018-05-25T00:00:00+07:00
13.749,100.512,22.02,78.12,1016.52,0,5.07,13.86,8.46,8.19,4.58,10.27,14,0,0,2018-05-26T00:00:00+07:00
13.749,100.512,22.32,81.87,1016.66,0,5.36,14.33,9.17,6.34,2.85,10.71,25.75,0,0,2018-05-27T00:00:00+07:00
13.749,100.512,21.78,79.91,1015.98,0,6.14,17.31,10.01,3.96,6.19,8.81,7.75,0,0,2018-05-28T00:00:00+07:00
13.749,100.512,20.81,76.66,1014.48,0,5.72,13.09,7.23,3.22,7.21,9.62,28,0,0,2018-05-29T00:00:00+07:00
13.749,100.512,21.52,79.63,1014.24,0,4.28,9.9,7.55,2.99,6.26,11.73,13.75,0,0,2018-05-30T00:00:00+07:00
13.749,100.512,23.15,77.77,1015.58,0,3.65,7.63,8.22,6.47,6.27,9.99,25.25,3.25,0,2018-05-31T00:00:00+07:00
13.749,100.512,22.58,79.77,1016.44,0,6.24,17.62,10.07,7.34,7.66,11.69,15.25,0,0,2018-06-01T00:00:00+07:00
13.765,100.505,32.97,55.4,1008.28,0,6.06,9.82,9.42,7.68,5.29,5.73,53.56,40.63,36.69,2018-05-07T00:00:00+07:00
13.765,100.505,32.62,61.9,1007.02,0,6.18,12.34,5.16,5.16,4.16,3.59,48.08,22.25,6.46,2018-05-08T00:00:00+07:00
13.765,100.505,33.09,58.44,1007.67,5.5,5.05,13.35,6.09,3.16,9.04,5.37,50.5,40.33,3.33,2018-05-09T00:00:00+07:00
13.765,100.505,30.17,70.62,1008.91,11.4,4.24,9.73,4.67,2.34,8.08,5.41,65.75,28.13,65.13,2018-05-10T00:00:00+07:00
13.765,100.505,29.95,77.15,1008.65,21.4,4.26,8.46,5.61,4.75,9.7,4.85,78.63,50.38,73.88,2018-05-11T00:00:00+07:00
13.765,100.505,31.81,60.24,1008.86,1.7,4.04,10.86,8.34,9.86,9,9.83,52.5,1.88,47,2018-05-12T00:00:00+07:00
13.765,100.505,32.1,59.53,1008.97,0.1,4.69,8.89,8.17,8.71,5.49,9.84,38,4,14,2018-05-13T00:00:00+07:00
13.765,100.505,31.17,68.27,1008.97,5.5,3.62,10.78,5.17,6.75,6.35,8.15,79.88,28,21.75,2018-05-14T00:00:00+07:00
13.765,100.505,30.59,70.19,1008.44,11.7,4.46,9.43,6.05,3.39,6.2,5.92,81.5,40.38,11.75,2018-05-15T00:00:00+07:00
13.765,100.505,30.95,69.29,1007.12,6.5,5.31,9.49,4.65,2.18,6.31,9.15,79.63,6.88,8.88,2018-05-16T00:00:00+07:00
13.765,100.505,22.4,82.12,1020.12,0,7.2,18.67,10.54,5.97,3.48,16.67,45.5,0,0,2018-05-17T00:00:00+07:00
13.765,100.505,22.92,82.2,1015.91,0,3.72,8.58,7.54,6.04,3.34,8.21,13.5,0,0,2018-05-18T00:00:00+07:00
13.765,100.505,24.7,82.88,1012.52,0,3.7,5.89,6.82,7.27,5.35,7.51,37.75,0,0,2018-05-19T00:00:00+07:00
13.765,100.505,26.16,83.69,1012.66,3.1,3.97,10.09,10.26,10.48,11.38,14.22,48,25,0.25,2018-05-20T00:00:00+07:00
13.765,100.505,26.07,84.3,1013.53,0.2,6.99,9.99,11.08,11.88,10.41,15.07,9,0,0,2018-05-21T00:00:00+07:00
13.765,100.505,23.54,82.19,1014.74,0,4.96,18.66,15.39,15.62,5.37,15.54,29.75,23,3.5,2018-05-22T00:00:00+07:00
13.765,100.505,20.86,79.37,1015.56,0,7.25,17.59,13.83,10.43,8.55,9.32,47.5,6,2.25,2018-05-23T00:00:00+07:00
13.765,100.505,20.38,80.8,1014.73,0,5.4,14.26,9.73,7.01,6.3,14.48,65.5,56,0,2018-05-24T00:00:00+07:00
13.765,100.505,21.45,79.95,1015.78,0.1,5.12,13.6,6.84,5.34,5.19,12.3,57.25,52.75,0,2018-05-25T00:00:00+07:00
13.765,100.505,22.02,78.12,1016.52,0,5.07,13.86,8.46,8.19,4.58,10.27,14,0,0,2018-05-26T00:00:00+07:00
13.765,100.505,22.32,81.87,1016.66,0,5.36,14.33,9.17,6.34,2.85,10.71,25.75,0,0,2018-05-27T00:00:00+07:00
13.765,100.505,21.78,79.91,1015.98,0,6.14,17.31,10.01,3.96,6.19,8.81,7.75,0,0,2018-05-28T00:00:00+07:00
13.765,100.505,20.81,76.66,1014.48,0,5.72,13.09,7.23,3.22,7.21,9.62,28,0,0,2018-05-29T00:00:00+07:00
13.765,100.505,21.52,79.63,1014.24,0,4.28,9.9,7.55,2.99,6.26,11.73,13.75,0,0,2018-05-30T00:00:00+07:00
13.765,100.505,23.15,77.77,1015.58,0,3.65,7.63,8.22,6.47,6.27,9.99,25.25,3.25,0,2018-05-31T00:00:00+07:00
13.765,100.505,22.58,79.77,1016.44,0,6.24,17.62,10.07,7.34,7.66,11.69,15.25,0,0,2018-06-01T00:00:00+07:00
13.759,100.511,32.99,55.09,1008.27,0,6.05,9.78,9.25,7.64,5.28,5.98,53.31,42.13,36.44,2018-05-07T00:00:00+07:00
13.759,100.511,32.66,61.92,1007.01,0,5.89,12.54,5.41,5.1,4.08,3.81,52.13,20.75,7.54,2018-05-08T00:00:00+07:00
13.759,100.511,33.09,58.44,1007.67,5.5,5.05,13.35,6.09,3.16,9.04,5.37,50.5,40.33,3.33,2018-05-09T00:00:00+07:00
13.759,100.511,30.17,70.62,1008.91,11.4,4.24,9.73,4.67,2.34,8.08,5.41,65.75,28.13,65.13,2018-05-10T00:00:00+07:00
13.759,100.511,29.95,77.15,1008.65,21.4,4.26,8.46,5.61,4.75,9.7,4.85,78.63,50.38,73.88,2018-05-11T00:00:00+07:00
13.759,100.511,31.81,60.24,1008.86,1.7,4.04,10.86,8.34,9.86,9,9.83,52.5,1.88,47,2018-05-12T00:00:00+07:00
13.759,100.511,32.1,59.53,1008.97,0.1,4.69,8.89,8.17,8.71,5.49,9.84,38,4,14,2018-05-13T00:00:00+07:00
13.759,100.511,31.17,68.27,1008.97,5.5,3.62,10.78,5.17,6.75,6.35,8.15,79.88,28,21.75,2018-05-14T00:00:00+07:00
13.759,100.511,30.59,70.19,1008.44,11.7,4.46,9.43,6.05,3.39,6.2,5.92,81.5,40.38,11.75,2018-05-15T00:00:00+07:00
13.759,100.511,30.95,69.29,1007.12,6.5,5.31,9.49,4.65,2.18,6.31,9.15,79.63,6.88,8.88,2018-05-16T00:00:00+07:00
13.759,100.511,22.4,82.12,1020.12,0,7.2,18.67,10.54,5.97,3.48,16.67,45.5,0,0,2018-05-17T00:00:00+07:00
13.759,100.511,22.92,82.2,1015.91,0,3.72,8.58,7.54,6.04,3.34,8.21,13.5,0,0,2018-05-18T00:00:00+07:00
13.759,100.511,24.7,82.88,1012.52,0,3.7,5.89,6.82,7.27,5.35,7.51,37.75,0,0,2018-05-19T00:00:00+07:00
13.759,100.511,26.16,83.69,1012.66,3.1,3.97,10.09,10.26,10.48,11.38,14.22,48,25,0.25,2018-05-20T00:00:00+07:00
13.759,100.511,26.07,84.3,1013.53,0.2,6.99,9.99,11.08,11.88,10.41,15.07,9,0,0,2018-05-21T00:00:00+07:00
13.759,100.511,23.54,82.19,1014.74,0,4.96,18.66,15.39,15.62,5.37,15.54,29.75,23,3.5,2018-05-22T00:00:00+07:00
13.759,100.511,20.86,79.37,1015.56,0,7.25,17.59,13.83,10.43,8.55,9.32,47.5,6,2.25,2018-05-23T00:00:00+07:00
13.759,100.511,20.38,80.8,1014.73,0,5.4,14.26,9.73,7.01,6.3,14.48,65.5,56,0,2018-05-24T00:00:00+07:00
13.759,100.511,21.45,79.95,1015.78,0.1,5.12,13.6,6.84,5.34,5.19,12.3,57.25,52.75,0,2018-05-25T00:00:00+07:00
13.759,100.511,22.02,78.12,1016.52,0,5.07,13.86,8.46,8.19,4.58,10.27,14,0,0,2018-05-26T00:00:00+07:00
13.759,100.511,22.32,81.87,1016.66,0,5.36,14.33,9.17,6.34,2.85,10.71,25.75,0,0,2018-05-27T00:00:00+07:00
13.759,100.511,21.78,79.91,1015.98,0,6.14,17.31,10.01,3.96,6.19,8.81,7.75,0,0,2018-05-28T00:00:00+07:00
13.759,100.511,20.81,76.66,1014.48,0,5.72,13.09,7.23,3.22,7.21,9.62,28,0,0,2018-05-29T00:00:00+07:00
13.759,100.511,21.52,79.63,1014.24,0,4.28,9.9,7.55,2.99,6.26,11.73,13.75,0,0,2018-05-30T00:00:00+07:00
13.759,100.511,23.15,77.77,1015.58,0,3.65,7.63,8.22,6.47,6.27,9.99,25.25,3.25,0,2018-05-31T00:00:00+07:00
13.759,100.511,22.58,79.77,1016.44,0,6.24,17.62,10.07,7.34,7.66,11.69,15.25,0,0,2018-06-01T00:00:00+07:00
13.739,100.511,32.86,56.09,1008.3,0,6.05,9.72,9.15,8.74,5.27,5.67,51.38,41.56,36.75,2018-05-07T00:00:00+07:00
13.739,100.511,32.57,62.47,1007.04,0.1,5.81,12.61,5.24,5.16,4.05,4.07,55.42,22.42,7.67,2018-05-08T00:00:00+07:00
13.739,100.511,32.89,60.45,1007.69,5.8,5.39,13.19,5.88,3.21,8.78,5.41,49.25,35.38,4.04,2018-05-09T00:00:00+07:00
13.739,100.511,29.92,74.3,1009.02,19.5,3.84,9.5,6.12,2.21,8.41,5.63,80.75,29.75,61.5,2018-05-10T00:00:00+07:00
13.739,100.511,28.99,82.98,1008.82,31,5.32,8.8,5.37,5.24,9.64,5.15,84.63,45.5,71.38,2018-05-11T00:00:00+07:00
13.739,100.511,31.09,65.96,1009.04,0.6,4.6,10.22,7.75,9.57,8.16,10,47.75,5.75,42.63,2018-05-12T00:00:00+07:00
13.739,100.511,31.16,65.93,1009.14,0.1,4.5,8.8,8.77,9.25,6.28,9.54,35.88,5.25,15,2018-05-13T00:00:00+07:00
13.739,100.511,30.72,72.69,1009.05,5.9,4.66,10.39,4.99,6.97,6.27,7.66,80.5,25.38,16.63,2018-05-14T00:00:00+07:00
13.739,100.511,29.83,77.03,1008.53,16.9,4.82,9.57,5.3,3.2,5.84,6.89,80.5,35.63,11.25,2018-05-15T00:00:00+07:00
13.739,100.511,30.64,72.57,1007.23,9.9,5.59,9.8,4.61,2.39,6.18,10.55,75.38,10.38,9.63,2018-05-16T00:00:00+07:00
13.739,100.511,22.4,82.12,1020.12,0,7.2,18.67,10.54,5.97,3.48,16.67,45.5,0,0,2018-05-17T00:00:00+07:00
13.739,100.511,22.92,82.2,1015.91,0,3.72,8.58,7.54,6.04,3.34,8.21,13.5,0,0,2018-05-18T00:00:00+07:00
13.739,100.511,24.7,82.88,1012.52,0,3.7,5.89,6.82,7.27,5.35,7.51,37.75,0,0,2018-05-19T00:00:00+07:00
13.739,100.511,26.16,83.69,1012.66,3.1,3.97,10.09,10.26,10.48,11.38,14.22,48,25,0.25,2018-05-20T00:00:00+07:00
13.739,100.511,26.07,84.3,1013.53,0.2,6.99,9.99,11.08,11.88,10.41,15.07,9,0,0,2018-05-21T00:00:00+07:00
13.739,100.511,23.54,82.19,1014.74,0,4.96,18.66,15.39,15.62,5.37,15.54,29.75,23,3.5,2018-05-22T00:00:00+07:00
13.739,100.511,20.86,79.37,1015.56,0,7.25,17.59,13.83,10.43,8.55,9.32,47.5,6,2.25,2018-05-23T00:00:00+07:00
13.739,100.511,20.38,80.8,1014.73,0,5.4,14.26,9.73,7.01,6.3,14.48,65.5,56,0,2018-05-24T00:00:00+07:00
13.739,100.511,21.45,79.95,1015.78,0.1,5.12,13.6,6.84,5.34,5.19,12.3,57.25,52.75,0,2018-05-25T00:00:00+07:00
13.739,100.511,22.02,78.12,1016.52,0,5.07,13.86,8.46,8.19,4.58,10.27,14,0,0,2018-05-26T00:00:00+07:00
13.739,100.511,22.32,81.87,1016.66,0,5.36,14.33,9.17,6.34,2.85,10.71,25.75,0,0,2018-05-27T00:00:00+07:00
13.739,100.511,21.78,79.91,1015.98,0,6.14,17.31,10.01,3.96,6.19,8.81,7.75,0,0,2018-05-28T00:00:00+07:00
13.739,100.511,20.81,76.66,1014.48,0,5.72,13.09,7.23,3.22,7.21,9.62,28,0,0,2018-05-29T00:00:00+07:00
13.739,100.511,21.52,79.63,1014.24,0,4.28,9.9,7.55,2.99,6.26,11.73,13.75,0,0,2018-05-30T00:00:00+07:00
13.739,100.511,23.15,77.77,1015.58,0,3.65,7.63,8.22,6.47,6.27,9.99,25.25,3.25,0,2018-05-31T00:00:00+07:00
13.739,100.511,22.58,79.77,1016.44,0,6.24,17.62,10.07,7.34,7.66,11.69,15.25,0,0,2018-06-01T00:00:00+07:00
13.757,100.501,32.97,55.4,1008.28,0,6.06,9.82,9.42,7.68,5.29,5.73,53.56,40.63,36.69,2018-05-07T00:00:00+07:00
13.757,100.501,32.62,61.9,1007.02,0,6.18,12.34,5.16,5.16,4.16,3.59,48.08,22.25,6.46,2018-05-08T00:00:00+07:00
13.757,100.501,33.09,58.44,1007.67,5.5,5.05,13.35,6.09,3.16,9.04,5.37,50.5,40.33,3.33,2018-05-09T00:00:00+07:00
13.757,100.501,30.17,70.62,1008.91,11.4,4.24,9.73,4.67,2.34,8.08,5.41,65.75,28.13,65.13,2018-05-10T00:00:00+07:00
13.757,100.501,29.95,77.15,1008.65,21.4,4.26,8.46,5.61,4.75,9.7,4.85,78.63,50.38,73.88,2018-05-11T00:00:00+07:00
13.757,100.501,31.81,60.24,1008.86,1.7,4.04,10.86,8.34,9.86,9,9.83,52.5,1.88,47,2018-05-12T00:00:00+07:00
13.757,100.501,32.1,59.53,1008.97,0.1,4.69,8.89,8.17,8.71,5.49,9.84,38,4,14,2018-05-13T00:00:00+07:00
13.757,100.501,31.17,68.27,1008.97,5.5,3.62,10.78,5.17,6.75,6.35,8.15,79.88,28,21.75,2018-05-14T00:00:00+07:00
13.757,100.501,30.59,70.19,1008.44,11.7,4.46,9.43,6.05,3.39,6.2,5.92,81.5,40.38,11.75,2018-05-15T00:00:00+07:00
13.757,100.501,30.95,69.29,1007.12,6.5,5.31,9.49,4.65,2.18,6.31,9.15,79.63,6.88,8.88,2018-05-16T00:00:00+07:00
